order_id,material_name,material_code,quantity,unit_price,total_price,order_date,employee_id,status,region,is_free_text,Prediction,Probability
ORD-0374,wipes,883506337-X,6,840,5040,4/5/2025,EMP-030,Open,North,False,wipes,0.92
ORD-0324,cutting board,288099785-2,14,990,13860,8/28/2025,EMP-025,Closed,West,False,cutting board,0.98
ORD-0105,ceiling fan,294891984-3,2,890,1780,5/25/2025,EMP-022,Closed,North,False,ceiling fan,0.95
ORD-0469,cuttign board,,19,710,13490,9/10/2025,EMP-035,Cancelled,South,True,cutting board,1.0
ORD-0430,ceiling fan,294891984-3,19,890,16910,6/26/2025,EMP-023,Cancelled,South,False,ceiling fan,0.95
ORD-0951,lamp,663027687-6,5,600,3000,5/6/2025,EMP-031,Closed,South,False,lamp,0.99
ORD-0257,potato masher,248590984-9,2,930,1860,4/5/2025,EMP-030,Open,North,False,potato masher,0.86
ORD-0357,bathrobe,538526465-2,10,800,8000,5/6/2025,EMP-031,Closed,South,False,N,0.11
ORD-0894,bed,924658502-X,11,530,5830,2/12/2025,EMP-037,Closed,West,False,bed,0.99
ORD-0340,chair,022690822-4,14,840,11760,6/26/2025,EMP-023,Cancelled,South,False,chair,1.0
ORD-0664,bed,924658502-X,3,530,1590,6/7/2025,EMP-032,Cancelled,East,False,bed,0.99
ORD-0281,polling pin,,6,570,3420,1/2/2025,EMP-027,Open,South,True,N,0.56
ORD-0967,chair,022690822-4,16,840,13440,3/13/2025,EMP-038,Cancelled,North,False,chair,1.0
ORD-0774,basket,626934340-2,17,580,9860,8/9/2025,EMP-034,Closed,North,False,basket,0.81
ORD-0634,blender,,4,620,2480,3/4/2025,EMP-029,Cancelled,West,True,blender,0.81
ORD-0233,post-it notes,999861710-3,12,890,10680,7/27/2025,EMP-024,Open,East,False,post-it notes,0.97
ORD-0941,bed,924658502-X,8,530,4240,4/5/2025,EMP-030,Open,North,False,bed,0.99
ORD-0092,clteaenr,,15,380,5700,1/2/2025,EMP-027,Open,South,True,N,0.11
ORD-0125,wipes,883506337-X,18,840,15120,7/27/2025,EMP-024,Open,East,False,wipes,0.92
ORD-0998,brush,964499575-9,1,800,800,7/17/2025,EMP-042,Open,North,False,brush,0.93
ORD-0176,garbage bags,808418777-5,20,630,12600,4/5/2025,EMP-030,Open,North,False,garbage bags,0.98
ORD-0018,shampoo and conditioner,064144339-0,9,840,7560,8/28/2025,EMP-025,Closed,West,False,shampoo and conditioner,0.64
ORD-0303,mirror,595523540-X,18,530,9540,5/25/2025,EMP-022,Closed,North,False,mirror,0.96
ORD-0681,dish soap dispenser,184484650-4,3,880,2640,5/6/2025,EMP-031,Closed,South,False,soap holder,0.72
ORD-0543,mirror,595523540-X,10,530,5300,2/3/2025,EMP-028,Closed,East,False,mirror,0.96
ORD-0590,printer,657655002-2,5,720,3600,4/5/2025,EMP-030,Open,North,False,printer,0.98
ORD-0779,dustpan,643930835-1,16,640,10240,4/14/2025,EMP-039,Open,South,False,N,0.11
ORD-0455,lamp,663027687-6,14,600,8400,4/5/2025,EMP-030,Open,North,False,lamp,0.99
ORD-0494,chair,022690822-4,4,840,3360,7/8/2025,EMP-033,Open,West,False,chair,1.0
ORD-0248,scale,,11,580,6380,4/5/2025,EMP-030,Open,North,True,scale,1.0
ORD-0721,microwave,340193091-5,16,820,13120,9/1/2025,EMP-026,Cancelled,North,False,microwave,0.96
ORD-0297,peeler,178457739-1,6,790,4740,8/9/2025,EMP-034,Closed,North,False,peeler,0.99
ORD-0922,wall hooks,892341584-7,11,510,5610,3/4/2025,EMP-029,Cancelled,West,False,wall hooks,0.92
ORD-0961,ice tray,137224100-0,14,870,12180,6/7/2025,EMP-032,Cancelled,East,False,ice tray,0.81
ORD-0502,whisk,980036639-3,4,760,3040,6/26/2025,EMP-023,Cancelled,South,False,whisk,0.97
ORD-0771,basket,626934340-2,13,580,7540,5/6/2025,EMP-031,Closed,South,False,basket,0.81
ORD-0152,rug,462338743-7,13,680,8840,7/27/2025,EMP-024,Open,East,False,rug,1.0
ORD-0510,cleaner,,3,490,1470,5/25/2025,EMP-022,Closed,North,True,cleaner,0.93
ORD-0322,scale,051073236-4,11,1000,11000,6/26/2025,EMP-023,Cancelled,South,False,scale,1.0
ORD-0867,potatoo masher,,3,760,2280,2/12/2025,EMP-037,Closed,West,True,potato masher,0.86
ORD-0744,pillows,234111883-6,11,700,7700,5/6/2025,EMP-031,Closed,South,False,pillows,1.0
ORD-0201,closet,594390988-5,5,940,4700,2/22/2025,EMP-019,Closed,South,False,N,0.23
ORD-0410,dish soap dispenser,184484650-4,13,880,11440,4/24/2025,EMP-021,Open,West,False,soap holder,0.72
ORD-0398,sink,653223938-0,15,820,12300,1/11/2025,EMP-036,Open,East,False,sink,0.95
ORD-0818,dresser,,3,550,1650,7/8/2025,EMP-033,Open,West,True,N,0.28
ORD-0377,rolling pin,618866491-8,3,680,2040,7/8/2025,EMP-033,Open,West,False,rolling pin,0.75
ORD-0777,microwave,340193091-5,7,820,5740,2/12/2025,EMP-037,Closed,West,False,microwave,0.96
ORD-0774,cutting board,288099785-2,15,990,14850,8/9/2025,EMP-034,Closed,North,False,cutting board,0.98
ORD-0608,dish soap dispenser,184484650-4,1,880,880,4/5/2025,EMP-030,Open,North,False,soap holder,0.72
ORD-0278,potato masher,248590984-9,17,930,15810,7/8/2025,EMP-033,Open,West,False,potato masher,0.86
ORD-0581,scoop,241285508-0,2,530,1060,4/5/2025,EMP-030,Open,North,False,scoop,0.77
ORD-0625,refrigerator,282374831-8,15,580,8700,3/4/2025,EMP-029,Cancelled,West,False,N,0.11
ORD-0688,mop and bucket,376004237-6,7,970,6790,3/13/2025,EMP-038,Cancelled,North,False,mop and bucket,0.97
ORD-0187,wipes,883506337-X,10,840,8400,6/7/2025,EMP-032,Cancelled,East,False,wipes,0.92
ORD-0761,towel,128737223-6,6,590,3540,4/5/2025,EMP-030,Open,North,False,towel,0.71
ORD-0004,potato masher,248590984-9,9,930,8370,3/23/2025,EMP-020,Cancelled,East,False,potato masher,0.86
ORD-0168,spoon,522462286-7,8,650,5200,5/6/2025,EMP-031,Closed,South,False,N,0.51
ORD-0796,fire extinguisher,532330577-0,5,990,4950,3/13/2025,EMP-038,Cancelled,North,False,fire extinguisher,0.87
ORD-0646,garlic press,900394976-X,6,870,5220,6/7/2025,EMP-032,Cancelled,East,False,N,0.25
ORD-0156,organizer,914279681-4,11,700,7700,2/3/2025,EMP-028,Closed,East,False,organizer,0.82
ORD-0878,iron,220340584-8,16,570,9120,4/14/2025,EMP-039,Open,South,False,iron,0.98
ORD-0885,lamp,663027687-6,10,600,6000,2/12/2025,EMP-037,Closed,West,False,lamp,0.99
ORD-0042,rug,462338743-7,6,680,4080,5/25/2025,EMP-022,Closed,North,False,rug,1.0
ORD-0420,blanket,843686442-5,2,740,1480,5/25/2025,EMP-022,Closed,North,False,blanket,0.94
ORD-0307,ggcrater,,19,760,14440,9/1/2025,EMP-026,Cancelled,North,True,N,0.11
ORD-0305,oster duraceramic air fryer,,13,360,4680,7/27/2025,EMP-024,Open,East,True,N,0.35
ORD-0654,mirror,595523540-X,14,530,7420,5/6/2025,EMP-031,Closed,South,False,mirror,0.96
ORD-0703,mitts,404975558-0,20,810,16200,9/1/2025,EMP-026,Cancelled,North,False,mitts,0.84
ORD-0297,kettle,709740462-0,19,820,15580,8/9/2025,EMP-034,Closed,North,False,kettle,0.97
ORD-0670,mop and bucket,376004237-6,15,970,14550,3/4/2025,EMP-029,Cancelled,West,False,mop and bucket,0.97
ORD-0201,curtains,025355772-0,15,760,11400,2/22/2025,EMP-019,Closed,South,False,N,0.58
ORD-0256,cwrtaino,,11,340,3740,3/4/2025,EMP-029,Cancelled,West,True,N,0.11
ORD-0524,potato masher,248590984-9,20,930,18600,1/2/2025,EMP-027,Open,South,False,potato masher,0.86
ORD-0360,scoop,241285508-0,12,530,6360,8/28/2025,EMP-025,Closed,West,False,scoop,0.77
ORD-0652,shower,225448060-X,4,520,2080,3/4/2025,EMP-029,Cancelled,West,False,shower,0.86
ORD-0460,bnnife,,20,240,4800,9/1/2025,EMP-026,Cancelled,North,True,N,0.11
ORD-0907,fire extinguisher,532330577-0,19,990,18810,6/7/2025,EMP-032,Cancelled,East,False,fire extinguisher,0.87
ORD-0441,cutting board,288099785-2,1,990,990,8/28/2025,EMP-025,Closed,West,False,cutting board,0.98
ORD-0982,hard drive,305257897-9,5,960,4800,9/10/2025,EMP-035,Cancelled,South,False,hard drive,0.99
ORD-0046,fire extinguisher,532330577-0,19,990,18810,9/1/2025,EMP-026,Cancelled,North,False,fire extinguisher,0.87
ORD-0373,eggmesparator,,6,900,5400,3/4/2025,EMP-029,Cancelled,West,True,N,0.11
ORD-0439,potato masher,,20,390,7800,6/7/2025,EMP-032,Cancelled,East,True,potato masher,0.86
ORD-0229,garbage bags,808418777-5,18,630,11340,3/4/2025,EMP-029,Cancelled,West,False,garbage bags,0.98
ORD-0164,clock,168566935-2,11,650,7150,1/2/2025,EMP-027,Open,South,False,clock,1.0
ORD-0472,mop and bcket,,16,800,12800,3/4/2025,EMP-029,Cancelled,West,True,mop and bucket,0.94
ORD-0717,magnets,122387572-5,13,990,12870,5/6/2025,EMP-031,Closed,South,False,magnets,0.99
ORD-0580,cutting board,288099785-2,3,990,2970,3/4/2025,EMP-029,Cancelled,West,False,cutting board,0.98
ORD-0962,paperweight,679193403-4,10,790,7900,7/8/2025,EMP-033,Open,West,False,N,0.29
ORD-0656,bed,924658502-X,17,530,9010,7/8/2025,EMP-033,Open,West,False,bed,0.99
ORD-0117,pillows,234111883-6,6,700,4200,8/28/2025,EMP-025,Closed,West,False,pillows,1.0
ORD-0982,can opener,974835936-0,9,710,6390,9/10/2025,EMP-035,Cancelled,South,False,can opener,0.91
ORD-0607,document shredder,670801635-4,2,710,1420,3/4/2025,EMP-029,Cancelled,West,False,document shredder,0.82
ORD-0341,mop and bucket,376004237-6,8,970,7760,7/27/2025,EMP-024,Open,East,False,mop and bucket,0.97
ORD-0288,television,544603778-2,6,770,4620,8/9/2025,EMP-034,Closed,North,False,N,0.24
ORD-0983,llmp,,12,830,9960,1/11/2025,EMP-036,Open,East,True,N,0.11
ORD-0092,table,467050186-0,12,760,9120,1/2/2025,EMP-027,Open,South,False,table,0.82
ORD-0799,printer,,12,520,6240,6/16/2025,EMP-041,Cancelled,West,True,printer,0.98
ORD-0858,table,467050186-0,6,760,4560,2/12/2025,EMP-037,Closed,West,False,table,0.82
ORD-0173,toothpaste,620816128-2,1,610,610,1/2/2025,EMP-027,Open,South,False,toothpaste,0.97
ORD-0038,cups,172931352-3,5,840,4200,1/2/2025,EMP-027,Open,South,False,cups,0.97
ORD-0588,closet,594390988-5,1,940,940,2/12/2025,EMP-037,Closed,West,False,N,0.23
ORD-0929,fire extinguisher,532330577-0,5,990,4950,1/11/2025,EMP-036,Open,East,False,fire extinguisher,0.87
ORD-0527,magnets,122387572-5,6,990,5940,4/5/2025,EMP-030,Open,North,False,magnets,0.99
ORD-0626,rug,462338743-7,11,680,7480,4/5/2025,EMP-030,Open,North,False,rug,1.0
ORD-0650,toothbrush holder,187586370-2,11,970,10670,1/2/2025,EMP-027,Open,South,False,toothbrush holder,0.81
ORD-0897,organizer,914279681-4,5,700,3500,5/15/2025,EMP-040,Closed,East,False,organizer,0.82
ORD-0018,toothbrush holder,187586370-2,18,970,17460,8/28/2025,EMP-025,Closed,West,False,toothbrush holder,0.81
ORD-0541,basket,626934340-2,18,580,10440,9/1/2025,EMP-026,Cancelled,North,False,basket,0.81
ORD-0291,wall hooks,892341584-7,18,510,9180,2/3/2025,EMP-028,Closed,East,False,wall hooks,0.92
ORD-0304,garlic press,900394976-X,14,870,12180,6/26/2025,EMP-023,Cancelled,South,False,N,0.25
ORD-0197,cleaner,725090208-3,6,900,5400,7/8/2025,EMP-033,Open,West,False,cleaner,0.93
ORD-0632,knife,642491412-9,10,940,9400,1/2/2025,EMP-027,Open,South,False,knife,1.0
ORD-0221,rolling pin,618866491-8,16,680,10880,4/24/2025,EMP-021,Open,West,False,rolling pin,0.75
ORD-0529,wi-fi router,993525470-4,15,850,12750,6/7/2025,EMP-032,Cancelled,East,False,wi-fi router,1.0
ORD-0516,iron,220340584-8,6,570,3420,2/3/2025,EMP-028,Closed,East,False,iron,0.98
ORD-0697,printer,,1,330,330,3/13/2025,EMP-038,Cancelled,North,True,printer,0.98
ORD-0069,slippers,389703846-3,2,620,1240,5/6/2025,EMP-031,Closed,South,False,slippers,0.99
ORD-0228,shower,225448060-X,18,520,9360,2/3/2025,EMP-028,Closed,East,False,shower,0.86
ORD-0799,book,568190630-2,4,580,2320,6/16/2025,EMP-041,Cancelled,West,False,N,0.21
ORD-0567,calendar,165706419-0,19,940,17860,8/9/2025,EMP-034,Closed,North,False,N,0.4
ORD-0436,hard drive,305257897-9,16,960,15360,3/4/2025,EMP-029,Cancelled,West,False,hard drive,0.99
ORD-0499,wall art,,7,170,1190,3/13/2025,EMP-038,Cancelled,North,True,wall art,0.69
ORD-0027,television,544603778-2,5,770,3850,8/28/2025,EMP-025,Closed,West,False,N,0.24
ORD-0319,dustpan,643930835-1,15,640,9600,3/4/2025,EMP-029,Cancelled,West,False,N,0.11
ORD-0410,grater,095046965-3,13,960,12480,4/24/2025,EMP-021,Open,West,False,grater,0.99
ORD-0099,extension cord,213627902-5,9,840,7560,8/9/2025,EMP-034,Closed,North,False,extension cord,0.73
ORD-0426,blendteczdesigner series blender,,19,890,16910,2/3/2025,EMP-028,Closed,East,True,blender,0.81
ORD-0675,tongs,734549797-6,12,690,8280,8/9/2025,EMP-034,Closed,North,False,tongs,0.99
ORD-0762,toilet,054326310-X,14,920,12880,5/6/2025,EMP-031,Closed,South,False,toilet,0.78
ORD-0829,dresser,389067558-1,16,870,13920,9/10/2025,EMP-035,Cancelled,South,False,N,0.28
ORD-0052,sponges,510683927-0,6,530,3180,6/26/2025,EMP-023,Cancelled,South,False,N,0.11
ORD-0144,raack,,20,830,16600,8/28/2025,EMP-025,Closed,West,True,N,0.11
ORD-0928,garlic press,900394976-X,15,870,13050,9/10/2025,EMP-035,Cancelled,South,False,N,0.25
ORD-0933,blendtec designer series blende,,5,990,4950,5/6/2025,EMP-031,Closed,South,True,N,0.11
ORD-0525,dryer sheets,815821672-2,10,940,9400,2/3/2025,EMP-028,Closed,East,False,dryer sheets,0.72
ORD-0854,chair,022690822-4,19,840,15960,7/8/2025,EMP-033,Open,West,False,chair,1.0
ORD-0149,smoke detector,559164151-2,17,790,13430,4/5/2025,EMP-030,Open,North,False,smoke detector,0.94
ORD-0759,tv remote,851653117-1,17,880,14960,2/12/2025,EMP-037,Closed,West,False,tv remote,0.68
ORD-0920,sewing kit,745110210-6,1,980,980,1/2/2025,EMP-027,Open,South,False,sewing kit,0.67
ORD-0072,potato masher,248590984-9,19,930,17670,8/28/2025,EMP-025,Closed,West,False,potato masher,0.86
ORD-0368,desk,873005134-7,11,910,10010,7/8/2025,EMP-033,Open,West,False,desk,0.77
ORD-0075,salt & pepper shakers,609097674-1,17,770,13090,2/3/2025,EMP-028,Closed,East,False,salt & pepper shakers,0.9
ORD-0631,printer,657655002-2,3,720,2160,9/1/2025,EMP-026,Cancelled,North,False,printer,0.98
ORD-0997,cosori smrat 5.8-quart air fryer,,15,320,4800,6/16/2025,EMP-041,Cancelled,West,True,N,0.35
ORD-0766,pott,,14,450,6300,9/10/2025,EMP-035,Cancelled,South,True,N,0.11
ORD-0418,wi-fi router,993525470-4,3,850,2550,3/4/2025,EMP-029,Cancelled,West,False,wi-fi router,1.0
ORD-0981,chair,022690822-4,5,840,4200,8/9/2025,EMP-034,Closed,North,False,chair,1.0
ORD-0287,rolling pin,618866491-8,18,680,12240,7/8/2025,EMP-033,Open,West,False,rolling pin,0.75
ORD-0661,tongs,734549797-6,13,690,8970,3/4/2025,EMP-029,Cancelled,West,False,tongs,0.99
ORD-0064,bathrobe,538526465-2,9,800,7200,9/1/2025,EMP-026,Cancelled,North,False,N,0.11
ORD-0932,chair,022690822-4,9,840,7560,4/5/2025,EMP-030,Open,North,False,chair,1.0
ORD-0398,pans,483919353-3,4,620,2480,1/11/2025,EMP-036,Open,East,False,pans,0.99
ORD-0751,grater,095046965-3,2,960,1920,3/4/2025,EMP-029,Cancelled,West,False,grater,0.99
ORD-0736,knife,642491412-9,5,940,4700,6/7/2025,EMP-032,Cancelled,East,False,knife,1.0
ORD-0112,wall hooks,892341584-7,3,510,1530,3/23/2025,EMP-020,Cancelled,East,False,wall hooks,0.92
ORD-0952,thermostat,708686037-9,16,580,9280,6/7/2025,EMP-032,Cancelled,East,False,thermostat,0.88
ORD-0790,hard drive,305257897-9,10,960,9600,6/7/2025,EMP-032,Cancelled,East,False,hard drive,0.99
ORD-0834,slippers,389703846-3,2,620,1240,5/6/2025,EMP-031,Closed,South,False,slippers,0.99
ORD-0722,television,544603778-2,18,770,13860,1/2/2025,EMP-027,Open,South,False,N,0.24
ORD-0517,dustpan,643930835-1,16,640,10240,3/4/2025,EMP-029,Cancelled,West,False,N,0.11
ORD-0334,egg separator,651863187-2,2,900,1800,9/1/2025,EMP-026,Cancelled,North,False,egg separator,0.81
ORD-0807,tovaxa smart oven,,6,390,2340,5/6/2025,EMP-031,Closed,South,True,oven,0.88
ORD-0542,bed,924658502-X,18,530,9540,1/2/2025,EMP-027,Open,South,False,bed,0.99
ORD-0375,meat tenderizer,854302527-3,17,560,9520,5/6/2025,EMP-031,Closed,South,False,meat tenderizer,0.74
ORD-0337,basket,626934340-2,7,580,4060,3/4/2025,EMP-029,Cancelled,West,False,basket,0.81
ORD-0529,grater,095046965-3,1,960,960,6/7/2025,EMP-032,Cancelled,East,False,grater,0.99
ORD-0620,smoke detector,559164151-2,18,790,14220,7/27/2025,EMP-024,Open,East,False,smoke detector,0.94
ORD-0761,dish soap dispenser,184484650-4,3,880,2640,4/5/2025,EMP-030,Open,North,False,soap holder,0.72
ORD-0050,shampoo and conditioner,064144339-0,2,840,1680,4/24/2025,EMP-021,Open,West,False,shampoo and conditioner,0.64
ORD-0860,dryer sheets,815821672-2,9,940,8460,4/5/2025,EMP-030,Open,North,False,dryer sheets,0.72
ORD-0635,scoop,241285508-0,12,530,6360,4/5/2025,EMP-030,Open,North,False,scoop,0.77
ORD-0889,microwave,340193091-5,9,820,7380,6/16/2025,EMP-041,Cancelled,West,False,microwave,0.96
ORD-0290,computer,916593960-3,3,1000,3000,1/2/2025,EMP-027,Open,South,False,computer,0.84
ORD-0704,mirror,595523540-X,14,530,7420,1/2/2025,EMP-027,Open,South,False,mirror,0.96
ORD-0004,kinfe,,9,640,5760,3/23/2025,EMP-020,Cancelled,East,True,N,0.11
ORD-0906,luggage,031900911-4,3,520,1560,5/6/2025,EMP-031,Closed,South,False,N,0.36
ORD-0576,sink,653223938-0,4,820,3280,8/9/2025,EMP-034,Closed,North,False,sink,0.95
ORD-0116,post-it notes,999861710-3,3,890,2670,7/27/2025,EMP-024,Open,East,False,post-it notes,0.97
ORD-0391,ecoozy smart nugget ice maker,,8,470,3760,3/4/2025,EMP-029,Cancelled,West,True,N,0.41
ORD-0211,first aid kit,119998156-7,6,840,5040,3/23/2025,EMP-020,Cancelled,East,False,first aid kit,0.62
ORD-0368,scale,051073236-4,2,1000,2000,7/8/2025,EMP-033,Open,West,False,scale,1.0
ORD-0720,refrigerator,282374831-8,7,580,4060,8/28/2025,EMP-025,Closed,West,False,N,0.11
ORD-0198,spoon,522462286-7,6,650,3900,8/9/2025,EMP-034,Closed,North,False,N,0.51
ORD-0574,hairdryer,444723983-3,4,780,3120,6/7/2025,EMP-032,Cancelled,East,False,N,0.11
ORD-0572,mirror,595523540-X,14,530,7420,4/5/2025,EMP-030,Open,North,False,mirror,0.96
ORD-0052,breville smrt oven,,13,540,7020,6/26/2025,EMP-023,Cancelled,South,True,oven,0.75
ORD-0139,lamp,663027687-6,1,600,600,3/4/2025,EMP-029,Cancelled,West,False,lamp,0.99
ORD-0358,bed,924658502-X,8,530,4240,6/7/2025,EMP-032,Cancelled,East,False,bed,0.99
ORD-0454,oven,033826904-5,9,640,5760,3/4/2025,EMP-029,Cancelled,West,False,oven,0.75
ORD-0194,doorbell,753298946-1,17,930,15810,4/5/2025,EMP-030,Open,North,False,doorbell,0.79
ORD-0780,pots,117314282-7,10,570,5700,5/6/2025,EMP-031,Closed,South,False,pots,0.97
ORD-0663,lamp,663027687-6,7,600,4200,5/6/2025,EMP-031,Closed,South,False,lamp,0.99
ORD-0115,tongs,734549797-6,12,690,8280,6/26/2025,EMP-023,Cancelled,South,False,tongs,0.99
ORD-0941,pillows,234111883-6,17,700,11900,4/5/2025,EMP-030,Open,North,False,pillows,1.0
ORD-0451,can opener,974835936-0,20,710,14200,9/1/2025,EMP-026,Cancelled,North,False,can opener,0.91
ORD-0543,scale,051073236-4,10,1000,10000,2/3/2025,EMP-028,Closed,East,False,scale,1.0
ORD-0441,mirror,595523540-X,5,530,2650,8/28/2025,EMP-025,Closed,West,False,mirror,0.96
ORD-0256,can opener,974835936-0,17,710,12070,3/4/2025,EMP-029,Cancelled,West,False,can opener,0.91
ORD-0362,ice tray,137224100-0,14,870,12180,1/2/2025,EMP-027,Open,South,False,ice tray,0.81
ORD-0356,printer,657655002-2,1,720,720,4/5/2025,EMP-030,Open,North,False,printer,0.98
ORD-0985,mitts,404975558-0,7,810,5670,3/13/2025,EMP-038,Cancelled,North,False,mitts,0.84
ORD-0763,gloves,586130269-3,2,670,1340,6/7/2025,EMP-032,Cancelled,East,False,gloves,0.68
ORD-0525,slippers,389703846-3,14,620,8680,2/3/2025,EMP-028,Closed,East,False,slippers,0.99
ORD-0926,blender,579986412-3,4,750,3000,7/8/2025,EMP-033,Open,West,False,blender,0.81
ORD-0769,iron,220340584-8,11,570,6270,3/13/2025,EMP-038,Cancelled,North,False,iron,0.98
ORD-0642,fire extinguisher,532330577-0,19,990,18810,2/3/2025,EMP-028,Closed,East,False,fire extinguisher,0.87
ORD-0082,organizer,914279681-4,12,700,8400,9/1/2025,EMP-026,Cancelled,North,False,organizer,0.82
ORD-0032,pots,117314282-7,20,570,11400,4/24/2025,EMP-021,Open,West,False,pots,0.97
